neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,price
Manhattan,Hell's Kitchen,40.75979,-73.99119,Private room,30,191,2019-05-16,1.65,1,191,52
Brooklyn,Park Slope,40.67343,-73.98338,Entire home/apt,3,4,2017-09-24,0.16,1,0,225
Manhattan,East Village,40.72649,-73.97904,Private room,1,338,2019-07-01,4.72,2,72,80
Brooklyn,Williamsburg,40.70933,-73.96792,Entire home/apt,1,148,2019-06-23,1.4,1,362,275
Manhattan,East Village,40.72298,-73.98474,Private room,1,106,2019-06-21,1.26,2,336,99
Manhattan,East Harlem,40.80164,-73.93922,Entire home/apt,4,190,2019-06-23,1.64,1,215,225
Manhattan,East Village,40.72162,-73.98008,Entire home/apt,9,49,2018-05-14,0.43,1,116,230
Manhattan,Hell's Kitchen,40.76342,-73.98865,Private room,7,23,2019-06-01,0.43,1,88,51
Manhattan,Washington Heights,40.83139,-73.94095,Private room,2,49,2019-06-18,1.6,2,336,65
Brooklyn,Clinton Hill,40.68346,-73.96374,Private room,2,105,2019-06-26,0.92,1,304,105
Manhattan,East Village,40.72828,-73.98801,Entire home/apt,5,21,2019-01-02,0.2,1,224,190
Manhattan,Upper East Side,40.76865,-73.95058,Private room,1,142,2019-07-06,1.5,1,322,200
Queens,Woodside,40.75038,-73.90334,Private room,30,25,2019-05-31,0.22,1,324,70
Brooklyn,Fort Greene,40.6932,-73.97267,Private room,3,143,2019-06-16,1.28,1,132,95
Manhattan,Chelsea,40.74138,-74.00197,Private room,3,167,2019-05-28,1.65,1,295,150
Brooklyn,Williamsburg,40.71154,-73.96112,Private room,3,61,2019-04-22,0.54,4,238,145
Manhattan,Harlem,40.82915,-73.95136,Entire home/apt,31,54,2019-03-23,0.49,1,209,110
Manhattan,Lower East Side,40.71851,-73.98892,Entire home/apt,5,70,2019-06-30,0.62,1,328,285
Brooklyn,Flatbush,40.65401,-73.96323,Entire home/apt,6,16,2019-06-15,0.15,1,38,130
Manhattan,Lower East Side,40.7114,-73.98794,Private room,30,94,2019-04-08,0.84,1,188,94
Brooklyn,Brooklyn Heights,40.69723,-73.99268,Entire home/apt,1,25,2016-08-04,0.24,1,7,800
Brooklyn,Williamsburg,40.71833,-73.95748,Entire home/apt,3,61,2018-08-09,0.53,1,272,105
Manhattan,East Village,40.72334,-73.9844,Private room,3,194,2019-06-30,1.73,1,26,60
Manhattan,East Village,40.72912,-73.98057,Private room,1,2,2016-02-14,0.05,1,0,50
Brooklyn,Williamsburg,40.71156,-73.96218,Private room,3,174,2019-06-22,1.54,4,288,85
Brooklyn,Bushwick,40.70032,-73.9383,Private room,4,24,2019-05-26,0.28,1,317,65
Brooklyn,Prospect Heights,40.68233,-73.97261,Entire home/apt,4,166,2019-06-27,3.4,1,207,131
Brooklyn,Clinton Hill,40.68634,-73.966,Private room,7,16,2019-05-31,0.2,6,185,98
Brooklyn,Prospect Heights,40.68035,-73.97162,Entire home/apt,7,21,2019-05-21,0.3,1,158,250
Brooklyn,Williamsburg,40.70984,-73.95775,Entire home/apt,5,168,2018-07-22,1.57,1,0,100
Brooklyn,Bushwick,40.70093,-73.92609,Entire home/apt,3,118,2019-06-18,1.05,2,9,105
Manhattan,Upper West Side,40.79764,-73.96177,Entire home/apt,3,81,2019-07-07,0.71,1,198,140
Manhattan,Harlem,40.82803,-73.94731,Private room,1,1,2018-10-09,0.11,1,365,89
Manhattan,Chelsea,40.74008,-74.00271,Private room,30,30,2019-05-01,0.27,2,364,98
Brooklyn,Bedford-Stuyvesant,40.68413,-73.92357,Entire home/apt,7,139,2018-10-28,1.23,2,311,125
Manhattan,Harlem,40.82279,-73.95139,Private room,3,11,2019-01-03,0.87,3,219,60
Brooklyn,Carroll Gardens,40.67967,-74.00154,Entire home/apt,2,233,2019-06-24,2.09,3,342,175
Manhattan,Washington Heights,40.83927,-73.94281,Private room,2,68,2012-11-01,0.6,1,312,65
Manhattan,West Village,40.73096,-74.00319,Entire home/apt,4,46,2019-05-18,0.55,2,243,500
Brooklyn,Williamsburg,40.71332,-73.94177,Private room,3,335,2019-05-29,3.02,1,152,101
Brooklyn,Park Slope,40.66941,-73.98109,Entire home/apt,30,88,2018-11-02,0.79,1,9,220
Brooklyn,Williamsburg,40.71459,-73.94844,Entire home/apt,30,29,2018-05-26,0.4,1,222,80
Manhattan,Harlem,40.8092,-73.94421,Private room,2,170,2019-06-23,1.61,1,346,100
Brooklyn,Gowanus,40.68157,-73.98989,Entire home/apt,30,19,2017-03-17,0.2,1,208,200
Manhattan,Hell's Kitchen,40.75527,-73.99291,Private room,2,334,2019-06-16,3.0,2,279,59
Brooklyn,Clinton Hill,40.68698,-73.96572,Private room,2,19,2019-06-02,0.2,6,250,125
Manhattan,East Village,40.7288,-73.98192,Entire home/apt,7,12,2017-12-11,0.13,1,164,140
Brooklyn,South Slope,40.66853,-73.98912,Entire home/apt,30,467,2018-12-30,4.22,2,192,120
Manhattan,East Village,40.7254,-73.98157,Entire home/apt,2,7,2017-08-09,0.06,4,298,350
Manhattan,Kips Bay,40.74294,-73.98009,Entire home/apt,5,38,2015-12-02,0.38,1,260,199
Brooklyn,Williamsburg,40.71942,-73.95748,Entire home/apt,3,324,2019-06-23,3.01,1,107,325
Manhattan,Upper West Side,40.77823,-73.97637,Entire home/apt,6,27,2019-04-27,0.27,1,199,235
Manhattan,East Village,40.72555,-73.97965,Entire home/apt,1,115,2019-06-07,1.05,4,299,225
Brooklyn,South Slope,40.66831,-73.98604,Private room,2,354,2019-05-20,3.2,3,20,99
Manhattan,Harlem,40.82754,-73.94919,Entire home/apt,2,195,2019-07-01,2.03,1,318,170
Brooklyn,South Slope,40.66499,-73.97925,Entire home/apt,2,16,2018-12-30,0.24,2,216,400
Manhattan,Upper West Side,40.77842,-73.97556,Entire home/apt,7,13,2019-06-26,0.12,1,224,170
Manhattan,East Village,40.72245,-73.98527,Entire home/apt,4,25,2011-12-10,0.23,1,0,100
Brooklyn,Prospect-Lefferts Gardens,40.65593,-73.96053,Private room,2,9,2018-10-05,0.08,1,324,75
Brooklyn,Williamsburg,40.71923,-73.96468,Private room,1,9,2011-09-18,0.08,1,245,90
Manhattan,Upper East Side,40.778,-73.94822,Entire home/apt,5,21,2017-08-15,0.19,1,189,150
Manhattan,Washington Heights,40.85879,-73.93128,Private room,15,36,2017-08-17,0.33,1,307,85
Brooklyn,Bedford-Stuyvesant,40.68332,-73.9547,Private room,3,63,2019-05-14,0.58,2,310,70
Manhattan,Harlem,40.81618,-73.94894,Entire home/apt,3,155,2019-06-20,1.42,3,213,120
Brooklyn,Clinton Hill,40.68414,-73.96351,Private room,3,260,2019-07-03,2.35,1,278,89
Manhattan,East Village,40.72392,-73.99143,Entire home/apt,5,73,2019-06-25,0.66,1,209,185
Brooklyn,Greenpoint,40.73494,-73.9503,Private room,3,193,2019-05-20,1.86,1,0,50
Manhattan,Lower East Side,40.71341,-73.98856,Entire home/apt,3,32,2019-06-14,0.29,1,16,105
Manhattan,Hell's Kitchen,40.76754,-73.98399,Private room,2,50,2019-05-26,0.45,3,234,130
Manhattan,West Village,40.73442,-74.00303,Entire home/apt,29,26,2019-07-01,0.25,1,12,115
Brooklyn,Flatlands,40.63188,-73.93248,Private room,2,2,2019-01-01,0.02,1,178,77
Brooklyn,Clinton Hill,40.6873,-73.9634,Private room,2,426,2019-06-24,3.89,3,275,76
Brooklyn,Bedford-Stuyvesant,40.68296,-73.93662,Entire home/apt,3,227,2019-06-23,2.09,2,163,125
Brooklyn,Clinton Hill,40.6863,-73.96765,Private room,4,84,2019-07-01,0.77,3,365,135
Brooklyn,Greenpoint,40.73409,-73.95348,Entire home/apt,29,3,2017-07-30,0.03,1,34,250
Brooklyn,Williamsburg,40.71561,-73.94835,Entire home/apt,3,10,2018-06-11,0.1,1,280,199
Brooklyn,Cobble Hill,40.6857,-73.99183,Entire home/apt,2,4,2016-04-24,0.04,1,0,140
Queens,Flushing,40.74028,-73.83168,Private room,2,1,2011-09-19,0.01,1,1,140
Brooklyn,Bedford-Stuyvesant,40.68281,-73.93524,Entire home/apt,3,124,2019-06-20,1.72,2,170,115
Brooklyn,Williamsburg,40.71596,-73.93938,Entire home/apt,3,11,2019-07-02,0.11,1,188,160
Brooklyn,Williamsburg,40.71492,-73.95935,Entire home/apt,4,240,2019-06-17,2.19,1,214,195
Manhattan,East Village,40.72354,-73.98295,Entire home/apt,3,30,2019-06-17,0.28,1,248,195
Brooklyn,Williamsburg,40.71165,-73.96087,Private room,3,200,2019-06-22,1.86,4,262,80
Brooklyn,Fort Greene,40.69101,-73.97312,Private room,8,27,2019-06-29,1.05,5,280,44
Manhattan,West Village,40.73474,-74.00101,Private room,4,79,2019-06-22,0.74,1,307,156
Brooklyn,Prospect Heights,40.67386,-73.96641,Private room,15,9,2013-05-10,0.09,1,339,85
Brooklyn,Williamsburg,40.71536,-73.96057,Private room,3,155,2019-06-13,1.61,1,1,125
Brooklyn,Prospect Heights,40.6741,-73.96595,Entire home/apt,15,4,2018-08-27,0.05,1,269,115
Manhattan,East Harlem,40.79295,-73.93997,Private room,2,34,2017-05-29,0.32,1,10,69
Brooklyn,Williamsburg,40.71363,-73.96398,Entire home/apt,6,27,2018-12-27,0.25,1,189,125
Manhattan,Upper East Side,40.77711,-73.9527,Entire home/apt,4,126,2019-06-26,1.16,2,290,219
Brooklyn,Boerum Hill,40.68559,-73.98094,Entire home/apt,3,23,2018-12-31,0.27,1,230,475
Manhattan,Upper East Side,40.77456,-73.95323,Entire home/apt,1,234,2019-06-08,2.6,2,164,99
Brooklyn,Williamsburg,40.71088,-73.95055,Private room,4,202,2019-05-28,1.86,2,53,69
Queens,Sunnyside,40.74559,-73.92313,Private room,30,28,2019-04-12,0.26,1,126,79
Brooklyn,Bedford-Stuyvesant,40.68306,-73.94659,Entire home/apt,2,309,2019-06-22,2.86,2,3,135
Brooklyn,DUMBO,40.70207,-73.98571,Private room,3,14,2011-04-25,0.13,1,189,250
Manhattan,Upper East Side,40.76123,-73.9642,Entire home/apt,3,4,2016-09-23,0.08,1,365,250
Brooklyn,Gowanus,40.66858,-73.99083,Entire home/apt,2,80,2019-07-06,2.17,1,0,250
Manhattan,Harlem,40.82704,-73.94907,Entire home/apt,3,2,2015-11-02,0.04,1,0,80
Brooklyn,Clinton Hill,40.68843,-73.96408,Private room,2,294,2019-06-24,3.47,3,336,70
Brooklyn,Carroll Gardens,40.6783,-74.00135,Entire home/apt,2,150,2019-06-18,1.4,3,342,165
Staten Island,St. George,40.64524,-74.08088,Private room,2,166,2019-06-13,1.66,1,312,70
Brooklyn,Bushwick,40.70641,-73.91765,Private room,2,47,2019-06-19,0.94,1,37,50
Bronx,Highbridge,40.83232,-73.93184,Private room,1,219,2019-07-04,2.04,3,353,40
Brooklyn,Williamsburg,40.71045,-73.9677,Entire home/apt,2,193,2016-07-06,1.78,1,177,150
Manhattan,East Village,40.72518,-73.98034,Private room,1,84,2019-06-23,0.78,4,310,125
Manhattan,Financial District,40.70666,-74.01374,Entire home/apt,3,114,2019-06-20,1.06,1,0,196
Brooklyn,Fort Greene,40.69098,-73.97113,Private room,2,213,2019-06-24,2.0,2,321,110
Manhattan,West Village,40.73756,-74.00405,Entire home/apt,3,86,2019-06-01,0.8,1,246,170
Manhattan,Harlem,40.81526,-73.94791,Entire home/apt,3,80,2019-05-26,0.75,3,231,165
Manhattan,West Village,40.73423,-74.0046,Entire home/apt,26,38,2016-04-20,0.36,1,225,150
